No.,Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Forward P/E,PEG,P/S,P/B,P/Cash,P/Free Cash Flow,Dividend Yield,Payout Ratio,EPS (ttm),EPS growth this year,EPS growth next year,EPS growth past 5 years,EPS growth next 5 years,Sales growth past 5 years,EPS growth quarter over quarter,Sales growth quarter over quarter,Shares Outstanding,Shares Float,Insider Ownership,Insider Transactions,Institutional Ownership,Institutional Transactions,Float Short,Short Ratio,Return on Assets,Return on Equity,Return on Investment,Current Ratio,Quick Ratio,LT Debt/Equity,Total Debt/Equity,Gross Margin,Operating Margin,Profit Margin,Performance (Week),Performance (Month),Performance (Quarter),Performance (Half Year),Performance (Year),Performance (Year),Beta,Average True Range,Volatility (Week),Volatility (Month),20-Day Simple Moving Average,50-Day Simple Moving Average,200-Day Simple Moving Average,50-Day High,50-Day Low,52-Week High,52-Week Low,Relative Strength Index (14),Change from Open,Gap,Analyst Recom,Average Volume,Relative Volume,Price,Change,Volume,Earnings Date
1760,EE,El Paso Electric Co.,Utilities,Electric Utilities,USA,1350.04,14.69,14.2,2.75,1.58,1.63,155.89,30.82,2.97,41.03,2.29,19.33,3.04,14.23,5.35,2.37,-7.74,-13.13,40.12,39.8,0.74,-9.18,98.35,-5.36,1.52,3.58,3.71,11.16,4.01,1.01,0.76,1.02,1.1,35.86,19.98,10.69,2.59,6.59,0.54,2.37,0,5.45,0.56,0.47,0.9,1.46,3.54,6.08,4.98,-0.09,12.49,-3.13,18.09,66.88,0.3,-0.06,2.9,169.13,0.73,33.65,0.24,123126,2/18/2013
1761,EEA,European Equity Fund Inc. (The),Financial,Closed-End Fund - Foreign,USA,79.98,,,,,,,,3.8,,,,,,,,,,10.58,10.58,0.01,,39.72,,0.8,5.41,,,,,,,,,,,2.3,8.62,14.2,32.4,24.96,7.54,1.47,0.11,0.78,1.03,4.31,8.63,17.38,-0.53,18.48,-0.53,36.95,72.27,-0.26,-0.26,,15.63,0.48,7.56,-0.53,7501,
1762,EEB,Guggenheim BRIC,Financial,Exchange Traded Fund,USA,,,,,,,,,2.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.98,2.59,6.54,14.82,-6.34,1.33,,0.35,0.63,0.79,-0.17,4.05,6.34,-1.62,12.55,-10.81,17.12,58.47,-0.19,-0.16,,56.37,0.45,36.5,-0.35,25097,
1763,EEFT,Euronet Worldwide Inc.,Services,Business Services,USA,1250.91,28.28,13.52,1.98,1.01,2.22,6.52,10.78,,0,0.87,194.7,16.67,-10.13,14.25,13.54,555.78,5.63,50.85,45.94,4.98,4.54,90.95,-0.06,4.46,8.55,3.1,8.21,5.7,0.93,0.84,0.14,0.46,36,6.71,3.58,-0.49,5.53,27.53,41.71,31.83,4.24,1.59,0.44,1.04,1.98,1.36,6.54,24.54,-2.34,25.83,-2.34,54.62,63.82,-0.28,-0.08,1.3,239.42,0.54,24.6,-0.36,128401,2/15/2013
1764,EEHB,PowerShares S&P Emerging MktsHigh Beta,Financial,Exchange Traded Fund,USA,,,,,,,,,1.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.25,-0.64,6.07,24.43,,-1.76,,0.19,0,0.19,-3,1.77,10.29,-6.24,9.28,-6.84,32.97,43.1,0,0,,0.85,2.38,23.43,0,0,
1765,EEI,"Ecology & Environment, Inc.",Industrial Goods,Waste Management,USA,54.91,,7.04,,0.37,1.13,4.17,,3.71,,-0.03,-88.92,9.52,-22.12,,8.68,-79.29,-12.98,4.24,2.55,0.25,0.39,33.79,-10.13,0.11,0.83,2.26,-0.29,4.28,1.85,,0,0.31,44.25,2.48,1.45,-1.52,10.87,10.31,8.28,-18.6,16.46,0.39,0.35,0.95,2.7,8.58,13.33,7.21,-3.07,23.74,-21.86,27.37,68.94,-0.31,-0.08,1,3.51,0.51,12.95,-0.38,1800,12/20/2012
1766,EELV,PowerShares S&P Emerging Markets Low Vol,Financial,Exchange Traded Fund,USA,,,,,,,,,1.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.31,1.63,6.64,9.74,12.93,-0.42,,0.21,0.42,0.6,-0.69,2.12,6.8,-1.68,8.5,-1.68,17.93,53.34,-0.38,-0.41,,60.66,0.22,28.73,-0.79,13421,
1767,EEM,iShares MSCI Emerging Markets Index,Financial,Exchange Traded Fund,USA,51857.01,,,,,,,,1.67,,,,,,,,,,1182.6,1172.18,,,,,5,1.15,,,,,,,,,,,-2.08,1.27,7.53,17.37,5.56,-1.13,1.35,0.42,0.5,0.78,-1.46,1.99,8.31,-3.26,10.56,-3.26,22.13,48.7,-0.41,-0.29,,50777.59,1.12,43.85,-0.7,56925652,
1768,EEMA,iShares MSCI Emerging Markets Asia,Financial,Exchange Traded Fund,USA,,,,,,,,,1.44,,,,,,,,,,,,,,,,,0.52,,,,,,,,,,,-3.1,0.39,7.41,20.25,,-1.61,,0.96,0.89,1.43,-2.23,0.88,8.64,-10.55,9.05,-10.55,21.51,43.91,-0.02,-0.28,,40.42,0.32,56.66,-0.3,13048,
1769,EEME,iShares MSCI Emerging Markets EMEA,Financial,Exchange Traded Fund,USA,,,,,,,,,3.2,,,,,,,,,,,,,,,,,0.08,,,,,,,,,,,-2.7,0.2,4.48,17.36,11.25,-1.76,,0.45,0.4,0.45,-1.73,2.02,7.33,-3.49,8.49,-24.72,22.01,47.26,-0.38,-1.25,,2.22,4.85,55.78,-1.62,10762,
1770,EEML,iShares MSCI Emerging Markets Latin Amer,Financial,Exchange Traded Fund,USA,,,,,,,,,2.81,,,,,,,,,,,,,,,,,3.12,,,,,,,,,,,-0.06,6.66,7.95,17.36,1.14,3.57,,0.4,0.33,0.57,1.7,6.62,10.25,-0.77,12.54,-5.73,23.96,71.92,-0.15,0.48,,1.08,41.82,54.29,0.33,44960,
1771,EEP,Enbridge Energy Partners LP,Basic Materials,Oil & Gas Pipelines,USA,9073.17,16.21,23.25,3.42,1.29,2,38.86,,7.24,95.34,1.85,282.42,21.7,1.87,4.74,6.95,64.71,-34.06,302.54,238.04,0.03,12.38,38,0.08,1.08,3.23,6.16,13.95,7.44,0.63,0.59,1.15,1.22,31.38,15.05,10.28,-0.2,7.41,1.28,8.38,-3.91,7.49,0.69,0.43,1.23,1.41,1.68,4.65,4.31,-2.25,11.57,-4.28,12.11,60.84,0.23,-0.63,2.3,798.94,1.39,29.99,-0.4,1111128,2/14/2013
1772,EEQ,Enbridge Energy Management LLC,Basic Materials,Independent Oil & Gas,USA,1252.37,24.71,26.89,8.24,,2.09,12523.72,12523.72,7.14,0,1.23,278.34,14.14,6.5,3,,93.15,,41.21,34.2,35.18,,54.46,-0.44,2.24,6.08,6.94,8.47,6.94,,,0,0,,,,-0.59,6.04,-4.55,-0.1,-8.13,5.19,0.77,0.48,1.26,1.51,0.9,3,-0.67,-2.06,9.24,-13.09,9.24,53.99,-0.07,-0.72,2.2,126.03,1.72,30.39,-0.78,217082,1/24/2013
1773,EES,WisdomTree SmallCap Earnings,Financial,Exchange Traded Fund,USA,,,,,,,,,1.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.07,8.53,12.25,19.16,12.52,6.82,,0.55,0.59,0.77,3.54,8.19,12.32,0.26,19.66,0.26,25.35,78.2,0.8,-0.08,,11.95,1.08,60.58,0.71,12865,
1774,EET,ProShares Ultra MSCI Emerging Markets,Financial,Exchange Traded Fund,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.2,2.19,14.63,35.43,5.91,-2.45,,1.54,0.9,1.32,-3.08,3.59,15.26,-6.32,21.2,-6.32,44.02,47.82,-1.15,-0.52,,14.05,1.68,83.52,-1.66,23570,
1775,EEV,ProShares UltraShort MSCI Emerging Mkts,Financial,Exchange Traded Fund,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.34,-2.96,-14.67,-30.43,-20.74,2.12,,0.37,0.9,1.34,2.99,-4.58,-18.78,-18.62,6.5,-37.93,6.5,50.11,0.98,0.66,,93.67,0.35,21.63,1.64,33030,
1776,EFA,iShares MSCI EAFE Index,Financial,Exchange Traded Fund,USA,41799.39,,,,,,,,2.99,,,,,,,,,,711.6,711.6,,,,,4.03,1.74,,,,,,,,,,,1.01,4.24,11.31,24.05,16.02,3.31,1.18,0.49,0.44,0.63,1.88,5.4,13.34,-0.49,15.01,-0.49,30.59,69.32,-0.12,-0.37,,16467.11,0.9,58.74,-0.49,14802759,
1777,EFC,Ellington Financial LLC,Financial,Mortgage Investment,USA,493.75,5.55,8.35,,7.88,0.79,7.13,3.04,11.64,63.98,4.33,-74.56,-39.87,0,,,2413.49,-1.1,20.53,20.49,0.07,-93.87,65.04,-1.04,0.75,1.28,3.47,16.92,4.31,,,0,0,89.95,50.38,118.22,0.21,7.56,12.44,15.9,37.82,7.08,,0.25,0.74,0.98,2.38,6.8,14.56,-0.25,17.53,-0.25,45.02,73.17,0,0.33,2,120.39,0.63,24.05,0.33,75883,11/7/2012 16:30
1778,EFG,iShares MSCI EAFE Growth Index,Financial,Exchange Traded Fund,USA,1430.51,,,,,,,,2.23,,,,,,,,,,23.2,22.98,,,,,0.44,0.73,,,,,,,,,,,1.08,3.58,10.17,19.87,14.61,2.7,1.13,0.51,0.43,0.62,1.63,4.45,11.07,-0.68,13.15,-0.68,26.51,67.72,-0.16,-0.44,,137.35,0.75,61.66,-0.6,103612,
1779,EFII,"Electronics for Imaging, Inc.",Technology,Computer Peripherals,USA,1047.6,12.86,13.55,0.99,1.61,1.16,2.87,22.19,,,1.75,202.2,15.28,31.82,13,1,385.02,6.77,46.56,46.1,0.88,17.16,92.31,0.07,2.74,2.86,9.18,13.7,12.69,1.71,1.56,0,0,54.41,5.2,12.77,10.73,22.55,27.41,54.53,37.2,18.48,1.21,0.58,1.99,1.98,14.33,20.36,33.51,-3.43,40.63,-3.43,61.29,81.21,0.54,-1.02,1.6,440.87,1.84,22.5,-0.49,810167,1/24/2013 16:30
1780,EFNL,iShares MSCI Finland Capped Inv Mkt,Financial,Exchange Traded Fund,USA,57.66,,,,,,,,7.4,,,,,,,,,,2.06,1.6,,,,,0,0,,,,,,,,,,,1.41,7.45,16.38,44.8,,6.91,0.08,0.31,0.49,0.62,3.36,8.6,20.39,-0.11,22.92,-0.11,47.39,66.75,-0.04,0.57,,3.34,0.68,27.99,0.54,2263,
1781,EFO,ProShares Ultra MSCI EAFE,Financial,Exchange Traded Fund,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.24,7.93,22.61,51.02,29.52,6.68,,0.93,0.15,0.46,3.84,10.74,26.09,-1.03,29.58,-1.03,64.74,69.8,0.08,-1.11,,1.09,1,84.15,-1.03,1087,
1782,EFOI,"Energy Focus, Inc.",Industrial Goods,Industrial Electrical Equipment,USA,4.72,,,,0.15,1.36,5.19,,,,-0.3,39.98,,,,4.39,40.94,-8.54,24.85,17.78,4.57,-77.89,14.21,-12.84,1.17,5.69,-38.77,-117.76,-82.77,0.95,0.64,0.5,0.67,19.53,-20.75,-22.63,-5,5.56,-20.83,-20.83,-24,18.75,0.05,0.01,2.29,6.26,-1.3,-3.94,-24.42,-20.83,18.75,-73.61,18.75,45.85,11.44,-10.26,,36.45,0.27,0.19,0,9925,11/14/2011
1783,EFR,Eaton Vance Senior Floating Rate Trust,Financial,Closed-End Fund - Debt,USA,566.32,15.95,,,12.75,1.09,,,6.69,,1.05,,,,,,,18.1,33.81,33.47,13.47,,26.92,,0.21,0.54,,,,,,,,,,,0,3.08,5.15,10.42,18.04,4.88,0.76,0.16,0.31,1.06,1.56,2.71,7.82,0,12.06,0,19.09,61.59,0.06,0.18,,130.67,1.62,16.75,0.24,211418,
1784,EFSC,Enterprise Financial Services Corp.,Financial,Regional - Southwest  Banks,USA,241.74,9.97,10.6,1.42,1.46,0.9,11.03,,1.56,,1.35,1.95,-5.93,1.54,7,4.9,-36.11,14.91,17.96,16.55,2.65,-25.16,55.5,-0.3,1.75,10.14,0.84,11.36,,,,0.36,1.4,,27.69,18.69,-3.44,3.46,0.9,19.43,-11.45,2.98,0.79,0.4,2.54,2.91,-1.11,1.84,9.3,-7.17,11.05,-7.17,37.17,48.86,-0.07,0.6,2.7,28.57,1.16,13.46,0.52,33145,1/24/2013 8:30
1785,EFT,Eaton Vance Floating-Rate Income Trust,Financial,Closed-End Fund - Debt,USA,655.3,9.1,,,12.45,1.13,,,6.12,,1.92,,,0,,,-31.4,18.6,37.51,37.51,12.23,,28.49,0.19,0.52,1.29,,,,,,,,,,,-0.74,2.46,6.46,14.03,22,2.52,0.74,0.29,0.84,1.8,0.28,3.45,9.51,-8.29,15.64,-8.29,23.88,54.75,-0.23,0.06,3,149.43,0.67,17.47,-0.17,100793,
1786,EFU,ProShares UltraShort MSCI EAFE,Financial,Exchange Traded Fund,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.72,-8.09,-20.16,-37.42,-32.8,-6.19,,0.28,0.6,1.34,-3.69,-10.67,-25.58,-24.93,1.78,-44.76,1.78,30.66,0.06,0.98,,24.14,0.24,15.45,1.05,5714,
1787,EFUT,e-Future Information Technology Inc.,Technology,Application Software,China,15.41,,,,0.51,0.77,2.45,,,,-0.6,-30.09,,0,,29.53,14.94,-10.45,3.94,2.58,,,0.98,,0.06,0.63,-6.77,-12.15,-12.15,1.1,0.74,0,0,38.06,-6.92,-8.28,-2.25,-3.93,-7.57,0,-18.71,-2.25,1.58,0.07,0,1.99,-2.38,-5.22,-2.38,-13.88,8.31,-35.58,41.67,40.33,0,0,,2.6,0.19,3.91,0,0,11/19/2012 16:30
1788,EFV,iShares MSCI EAFE Value Index,Financial,Exchange Traded Fund,USA,1257.36,,,,,,,,3.61,,,,,,,,,,24.8,37.6,,,,,0.08,0.12,,,,,,,,,,,0.92,5.12,11.85,27.61,17.33,4.24,1.25,0.47,0.52,0.69,2.1,6.11,15.1,-0.35,16.22,-0.35,34.76,69.39,-0.24,-0.1,,241.23,1.78,50.7,-0.33,429400,
1789,EFX,Equifax Inc.,Financial,Credit Services,USA,7025.3,24.07,16.32,1.88,3.33,3.77,26.29,19.91,1.23,28.39,2.44,0.61,22.45,-2.48,12.8,4.85,17.84,10.91,119.6,118.59,0.64,-2.55,93.11,-0.06,1.58,2.23,8.63,16.48,9.59,1.86,,0.51,0.52,61.77,24.6,14.54,0.5,10.58,19.17,22.02,50.04,8.54,1.06,0.79,1.01,1.35,4.42,8.7,21.31,-0.94,19.41,-0.94,53.8,73.37,-0.24,0.02,2.4,838.53,0.39,58.74,-0.22,330189,2/6/2013 16:30
1790,EFZ,ProShares Short MSCI EAFE,Financial,Exchange Traded Fund,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.99,-4.26,-10.69,-20.72,-17.24,-3.2,,0.35,0.37,0.64,-1.92,-5.45,-13.32,-13.41,0.48,-25.26,0.48,29.24,0.17,0.28,,75.07,0.14,40.18,0.45,10720,
1791,EGAN,eGain Communications Corp.,Technology,Business Software & Services,USA,179.23,,121.33,,4.1,121.33,17.38,,,,-0.34,-157.68,126.1,0,,14.05,-692.35,3.26,24.62,12.78,0.02,-0.19,26.44,-58.25,1.7,9.14,-29.27,-204.27,-117.59,0.77,,0.83,5.73,65.73,-15.44,-19.16,17.04,63.23,54.89,54.89,34.07,61.78,1.34,0.34,6.12,6.16,37.87,55.32,52.76,0.41,95.7,0.41,119.94,92.52,1.11,0.7,1.5,23.79,1.96,7.28,1.82,46640,2/4/2013
1792,EGAS,Gas Natural Inc.,Utilities,Gas Utilities,USA,81.19,31.29,14.06,,0.91,1.07,44.12,,5.57,192,0.31,-28.47,46.81,-5.12,,,-616.64,5.26,8.37,7.1,0.89,36.7,6.93,-1.69,0.19,0.78,1.65,3.3,2.13,0.73,0.49,0.54,0.8,38.32,7.87,2.79,-1.82,5.43,-2.22,-1.82,-7.79,4.41,0.3,0.16,1.22,1.71,0.88,3.2,-1.75,-3.57,20.42,-13.23,20.42,55.68,0.52,-0.52,1,17.08,0.85,9.7,0,14562,11/14/2012
1793,EGBN,"Eagle Bancorp, Inc.",Financial,Regional - Mid-Atlantic Banks,USA,521.19,14.19,12.02,1.42,3.67,1.49,70.05,,,,1.6,41.61,6.18,17.78,10,19.99,25.17,15.33,22.95,19.5,5.43,1.63,45.12,-0.1,1.75,5.25,1.13,13.79,,,,0.11,0.4,,37.73,23.7,5.43,13.72,27.3,33.04,43.37,13.72,0.76,0.6,2.28,2.55,8.19,11.59,26.9,1.29,20.29,1.29,53.45,72.03,2.34,0.36,1.7,65.04,1.37,22.71,2.71,89372,1/23/2013 16:30
1794,EGF,"BlackRock Enhanced Government Fund, Inc.",Financial,Closed-End Fund - Debt,USA,174.02,21.67,,,16.39,0.98,,,2.28,,0.73,,,,,,-18.6,-1.4,11,11,14.93,,42.81,-12.13,1.48,4.67,,,,,,,,,,,0.44,1.8,3.33,5.75,8.28,1.22,0.01,0.13,0.56,0.7,0.68,1.6,4.71,-1.74,4.35,-1.74,10.16,57.72,-0.44,0,,34.85,0.55,15.82,-0.44,19264,
1795,EGHT,8x8 Inc.,Technology,Communication Equipment,USA,465.27,6.32,23.25,0.42,4.51,3.48,10,20.24,,,1.03,901.09,40,24.98,15,10.06,-27.52,17.45,71.47,68.04,5.4,-6.99,41.17,-1.54,6.4,5.75,70.65,81.07,80.09,3.97,3.92,0,0,67.79,21.39,73.81,-16.54,-11.31,10.53,30.2,48.29,-11.79,1.32,0.3,3.84,3.28,-14.16,-7.95,15.35,-18.11,13.61,-18.11,73.14,33.13,-7.4,-0.71,1.5,756.73,3.7,6.51,-8.05,2798942,1/24/2013 16:30
1796,EGI,Entree Gold Inc.,Basic Materials,Gold,Canada,68.95,,,,,1.3,10.43,,,,-0.12,22.08,,,,,51.72,,128.88,95.64,23.56,,25.55,2.27,0.2,1.34,-22.53,-28.84,-22.92,14.99,,0.1,0.1,,,,4.9,21.59,27.38,-10.83,-59.16,16.3,1.81,0.04,8.33,8.65,6.05,11.92,-16.94,-12.3,30.49,-62.06,33.75,56.12,-6.96,0.88,,141.95,0.35,0.54,-6.14,50269,
1797,EGL,"Engility Holdings, Inc.",Services,Technical Services,USA,319.83,,7.42,,0.18,1.02,16.76,4.93,,,-27.43,388.89,111.1,0,,,-1871.03,-17.59,16.58,16.14,0.56,,76.71,-0.16,11.43,21.42,,,,1.42,,1,1.08,14.09,-22.21,-24.78,-3.45,1.85,3.93,25.83,,0.16,,0.62,3.03,3.07,-1.2,0.3,5.25,-5.9,7.11,-5.9,38.68,48.24,-1.83,0.72,3,86.16,0.82,19.29,-1.13,70629,3/12/2013 16:30
1798,EGLE,"Eagle Bulk Shipping, Inc.",Services,Shipping,USA,36.59,,,,0.17,0.06,1.96,126.16,,,-4.5,-155.03,0.7,-54.69,,24.53,-373.13,-41.67,15.77,15.41,4.99,-12.26,28.72,-0.22,6.81,4.12,-3.91,-11.15,-3.99,1.34,1.03,1.83,1.83,45.59,-7.93,-33.06,3.11,48.72,-25.64,-16.55,-56.39,54.67,2.65,0.18,6.22,9.82,12.05,12.28,-28.45,-18.02,75.76,-76.33,75.76,59.31,8.41,-0.47,4,254.61,3.68,2.32,7.91,937484,11/8/2012 16:30
1799,EGN,Energen Corp.,Basic Materials,Independent Oil & Gas,USA,3411.25,13.47,11.28,1.42,2.11,1.27,200.54,,1.18,15.91,3.51,-2.31,18.36,-3.93,9.5,2.42,335,50.29,72.15,71.58,0.71,-1.91,80.82,0.52,2.09,2.55,4.44,9.93,5.22,0.37,0.32,0.41,0.67,61.65,28.41,15.68,-2.92,6.8,-8.02,2.47,-11.59,4.86,1.21,0.99,1.86,1.9,-0.98,3.4,-0.69,-4.85,14.26,-18.09,18.51,50.16,-2.27,0.33,2.3,587.5,1.81,47.28,-1.95,1062699,1/23/2013 16:30
1800,EGO,Eldorado Gold Corp.,Basic Materials,Gold,Canada,8288.61,26.39,18.14,1.1,7.53,1.43,30.2,,1.21,33.36,0.44,42.68,30.61,198.2,24.08,66.97,-42.8,-13.91,713.92,713.12,0.74,,75.84,0.9,1.08,2.49,5.3,6.22,5.75,2.24,1.41,0.01,0.02,54.67,40.69,27.04,-9.51,-8.73,-17.95,12.28,-16.47,-9.86,0.48,0.42,3.35,2.75,-8.62,-13.64,-10.81,-25.77,1.84,-28.33,19.32,30.77,1.49,-0.17,1.9,3074.63,1.55,11.61,1.31,4753730,2/18/2011 8:30
1801,EGOV,NIC Inc.,Technology,Application Software,USA,1066.4,45.83,35.87,2.82,5.36,12.5,14.6,52.07,,0,0.36,26.11,24.32,15.22,16.25,20.44,-12.72,13.96,64.63,59.76,4.01,-11.29,78.24,-1.27,3.72,5.85,16.18,28.61,28.07,2.04,,0,0,39.23,20.32,11.68,-0.3,1.79,17.77,27.91,36.25,0.98,0.96,0.38,2.36,2.12,0.42,5.04,21.48,-4.9,16.53,-4.9,68.65,55.72,-0.84,0.24,1.4,379.45,0.4,16.5,-0.6,152387,2/7/2013 16:00
1802,EGP,EastGroup Properties Inc.,Financial,REIT - Industrial,USA,1674.36,64.19,52.79,10.7,9.09,3.64,1625.6,,3.75,241.63,0.88,21.35,20.22,-1.09,6,5.67,10.26,7.2,29.64,28.33,2.34,-6.72,86.47,0.04,4.21,6.31,2,5.86,2.07,,,1.74,1.74,71.85,32.57,13.62,2.54,4.92,7.66,11.33,24.04,4.98,1.11,0.66,0.61,1.16,3.42,6.74,9.92,0.43,14.78,0.43,24.59,75.48,0.68,-0.04,2.8,188.93,0.58,56.49,0.64,110175,2/12/2013 16:30
1803,EGPT,Market Vectors Egypt Index ETF,Financial,Exchange Traded Fund,USA,,,,,,,,,2.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.29,-1.73,-11.36,9.28,19.08,-2.12,,0.3,1.46,2.03,-4.2,-1.62,0.01,-9.58,9.19,-16.29,29.37,39.44,-0.95,-1.95,,93.87,0.83,12.48,-2.88,77925,
1804,EGRW,iShares MSCI Emerging Markets Growth,Financial,Exchange Traded Fund,USA,,,,,,,,,1.5,,,,,,,,,,,,,,,,,4.91,,,,,,,,,,,-1.89,1.82,5.95,-88.09,,-0.54,,0.47,0.92,0.43,-1.27,2.11,-78.62,-3.87,9.22,-90.26,14.69,48.96,-2.28,1.33,,0.29,2.22,56.64,-0.98,645,
1805,EGT,Entertainment Gaming Asia Inc.,Consumer Goods,"Recreational Goods, Other",Hong Kong,60.48,101,,2.02,2,1.74,5.69,16.62,,0,0.02,111.99,,0,50,28.19,-93.61,20.93,29.94,15.61,2.58,6.92,3.06,13.61,0.23,1.04,1.13,1.45,1.38,2.72,2.36,0,0.05,32.21,0.34,1.63,2.02,5.76,-9.82,-26.01,102,5.21,2.39,0.08,2.57,4.21,2.15,-0.23,-18.01,-13.3,9.19,-59.6,110.42,53.25,1,-0.5,,33.89,0.24,2.02,0.5,8020,11/13/2012 8:30
1806,EGY,Vaalco Energy Inc.,Basic Materials,Independent Oil & Gas,USA,494.62,17.81,6.53,8.91,2.36,1.95,3.63,17.97,,0,0.48,-10.03,48.86,-2.58,2,16.44,-95.66,0.75,57.85,54.95,2.94,-0.58,84.03,0.64,5.99,8.38,12.51,11.92,13.88,6.61,6.5,0,0,86.05,58.82,16.69,-6.46,-0.35,11.04,20.59,29.94,-1.16,0.95,0.29,2.7,2.9,-5.11,0.29,3.13,-10.28,16.17,-17.15,40.16,40.93,-2.73,-0.23,3,392.5,1.18,8.55,-2.95,463368,11/9/2012
1807,EHI,Western Asset Global High Income Fund Inc.,Financial,Closed-End Fund - Debt,USA,437.09,41.62,,,10.28,1.11,,,8.2,,0.34,,,,,,4.2,2.5,30.89,30.89,0.01,,16.45,-9.53,0.19,0.61,,,,,,,,,,,-0.35,3.66,5.6,10.37,18.21,3.36,0.87,0.13,0.57,0.98,1.6,3.49,8.57,-0.7,14.97,-0.7,20.61,63.86,-0.14,-0.21,,97.94,0.74,14.15,-0.35,72248,
1808,EHTH,"eHealth, Inc.",Financial,Insurance Brokers,USA,496.53,74.3,51.08,7.78,3.24,3.08,3.8,41.17,,0,0.33,-57.69,33.33,-17.3,9.55,19.86,183.52,8.05,20.25,19.95,1.1,-18.33,94.05,-2.96,3.44,4.35,3.8,4.33,4.23,7.24,,0,0,96.08,8.8,4.5,-0.93,-10.71,21.15,45.35,57.48,-10.77,0.8,0.83,2.33,3.47,-2.93,-4.4,24.23,-12.96,9.71,-12.96,70.99,42.51,-0.69,-1.36,2.8,157.68,0.46,24.52,-2.04,73213,2/11/2013
1809,EIA,Eaton Vance California Municipal Bond Fund II,Financial,Closed-End Fund - Debt,USA,55.83,5.83,,,14.89,1.07,,,5.35,,2.47,,,,,,-42.7,-6.6,3.88,3.88,13.3,,22.11,28.45,0.38,1.22,,,,,,,,,,,-2.17,6.2,3.01,11.64,19.22,2.49,0.09,0.32,0.91,2.32,-2.13,-0.87,8.27,-9.63,7.94,-9.63,26.89,42.91,-1.23,0.21,,12.13,0.26,14.39,-1.03,3171,
1810,EIDO,iShares MSCI Indonesia Invstble Mkt Idx,Financial,Exchange Traded Fund,USA,,,,,,,,,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.42,2.13,-0.59,6.97,-1.63,-0.1,,0.37,0.91,1,-0.47,-0.16,2.45,-2.8,2.65,-4.54,19.1,47.61,-0.89,-0.46,,326.34,2.89,30.23,-1.34,944055,
1811,EIG,"Employers Holdings, Inc.",Financial,Property & Casualty Insurance,USA,661.4,18.09,35.88,1.81,1.19,1.4,2.72,7.86,1.11,19.32,1.19,-14.76,160.87,-16.88,10,-2.26,-16.28,33.85,30.72,30.28,0.07,-5.2,76.13,-0.04,2.61,5.67,1.11,8.03,,,,0.26,0.26,,6.82,7.04,1.37,5.08,17.59,22.82,19.74,4.62,1.01,0.36,1.13,1.71,1.92,7.12,17.55,-1.01,20,-1.01,37.38,66.9,0.42,0,2.2,139.07,1,21.53,0.42,139449,2/25/2013
1812,EIHI,"Eastern Insurance Holdings, Inc.",Financial,Accident & Health Insurance,USA,138.35,13.77,14.95,1.62,0.87,1.03,2.8,9.63,1.6,21.77,1.27,156.7,11.43,21.13,8.5,27.21,331.53,30.97,7.91,6.54,0.67,0.03,37.84,-3.12,1.74,6.57,2.74,7.49,,,,0,0,,7.93,6.18,2.1,3.55,4.92,10.42,27.85,2.4,0.9,0.26,1.31,1.53,2.51,3.23,7.43,-0.29,6.71,-0.78,29.73,67.26,1.63,0.7,3,17.27,0.66,17.49,2.34,11385,11/1/2012 16:30
1813,EIM,Eaton Vance Municipal Bond Fund,Financial,Closed-End Fund - Debt,USA,987.35,,,,,,,,5.29,,,,,,,,,,68.14,68.14,,,15.51,-0.66,0.27,1.02,,,,,,,,,,,-0.62,3.06,1.19,6.39,18,4.02,0.22,0.21,0.81,1.32,0.7,0.29,6.27,-4.15,6.85,-4.15,23.69,51.13,-1.36,0.34,,179.67,0.84,14.49,-1.02,151111,
1814,EIO,Eaton Vance Ohio Municipal Bond Fund,Financial,Closed-End Fund - Debt,USA,,,,,,,,,4.78,,,,,,,,,,,,,,,,,0.47,,,,,,,,,,,-1.93,2.44,-0.14,-2.65,12.47,4.85,,0.24,0.96,1.28,0.3,-1.38,0.15,-7.58,4.85,-7.89,16.78,47.19,-1.41,1.08,,4.43,0.38,14.7,-0.34,1673,
1815,EIP,Eaton Vance Pennsylvania Municipal Bond Fund,Financial,Closed-End Fund - Debt,USA,46.08,,,,,,,,5.61,,,,,,,,,,2.96,2.96,,,3.09,27.99,0.22,1.38,,,,,,,,,,,-1.53,3.24,-1.28,1.95,17.32,1.55,0.29,0.21,0.67,1.5,-0.28,-0.89,3.43,-6.44,6.18,-6.44,20.15,46.26,-1.09,-0.25,,4.67,0.09,15.57,-1.34,443,
